,home_team,away_team,date
389,Southwest Christian,Henry Sibley,Mon May 18
390,Monticello,Chisago Lakes,Thu Apr 23
391,Rochester Mayo,Farmington,Fri Apr 10
392,Tartan,Park of Cottage Grove,Thu May 21
393,New Prague,Waconia,Mon May  4
394,Apple Valley,Rosemount,Thu May 14
395,Burnsville,Apple Valley,Tue May  5
396,Hopkins,Minnetonka,Thu Apr 30
397,Benilde-St. Margarets,Eagan,Sat May  9
398,Becker,Big Lake,Tue May 12
399,Elk River Zimmerman,Robbinsdale Armstrong,Mon Apr 13
400,Rocori,Moorhead,Fri May  8
401,Blaine,Andover,Mon May 11
402,Benilde-St. Margarets,Mahtomedi,Sat Apr 25
403,Park of Cottage Grove,Woodbury,Fri May  8
404,Rocori,Sartell/Sauk Rapids,Thu Apr 30
405,Champlin Park,Centennial,Thu Apr  9
406,Rogers,Totino-Grace,Wed Apr 15
407,Henry Sibley,St. Paul,Wed Apr 15
408,Mankato,Northfield,Tue Apr 28
409,Park of Cottage Grove,White Bear Lake,Fri May 15
410,St. Cloud,Sartell/Sauk Rapids,Thu Apr 23
411,Brainerd,Grand Rapids,Tue May 12
412,Stillwater,Irondale,Wed Apr 22
413,Hermantown/Proctor,Minneapolis,Fri Apr 24
414,Coon Rapids,Blaine,Wed Apr 22
415,Blaine,Rogers,Mon Apr 20
416,Holy Angels,Bloomington Jefferson,Mon May 18
417,Mound Westonka,TrIMAC,Wed Apr 15
418,Southwest Christian,St. Paul,Thu May 14
419,St. Michael-Albertville,Monticello,Mon May 11
420,Minneapolis,Apple Valley,Wed Apr 15
421,Tartan,Duluth,Tue May 19
422,Mounds View,Park of Cottage Grove,Wed Apr 29
423,Becker,Brainerd,Mon May  4
424,Holy Angels,St. Thomas Academy,Tue May  5
425,Andover,Spring Lake Park,Wed Apr 29
426,Hastings,St. Thomas Academy,Wed Apr 29
427,TrIMAC,Southwest Christian,Thu Apr 30
428,Orono,Holy Family,Mon May  4
429,North St. Paul,Rochester JM Lourdes,Mon Apr 13
430,St. Louis Park,Benilde-St. Margarets,Thu May  7
431,Waconia,Southwest Christian,Mon Apr 20
432,Stillwater,Woodbury,Fri May 22
433,Rogers,Andover,Fri May 15
434,Providence Academy,Mound Westonka,Mon May 18
435,Buffalo,Orono,Thu May  7
436,Rochester JM Lourdes,Northfield,Mon May 18
437,Rochester JM/Lourdes,Rochester Century,Sat Apr 25
438,Rochester Mayo,Rochester JM/Lourdes,Mon Apr 20
439,Big Lake,Becker,Thu Apr 23
440,Delano Rockford,New Prague,Thu May  7
441,Edina,St. Michael-Albertville,Thu Apr 30
442,Mound Westonka,Delano Rockford,Mon May  4
443,Blaine,Anoka,Mon May  4
444,Hopkins,Breck,Thu May  7
445,Delano/Rockford,Holy Family,Mon May 18
446,Centennial,Rogers,Mon Apr 13
447,Grand Rapids,Brainerd,Tue May 12
448,Shakopee,Farmington,Thu May 14
449,Benilde-St. Margarets,Centennial,Thu May 21
450,Hopkins,Buffalo,Thu Apr 16
451,Osseo/Park Center,Elk River Zimmerman,Wed Apr 15
452,North St. Paul,St. Thomas Academy,Mon Apr 20
453,Elk River Zimmerman,Centennial,Wed Apr 29
454,Brainerd,St. Cloud,Mon Apr 20
455,Providence Academy,Blake,Tue Apr 14
456,Hermantown Proctor,Irondale,Fri Apr 17
457,Spring Lake Park,Elk River/Zimmerman,Mon May 11
458,Apple Valley,Prior Lake,Thu May  7
459,Holy Angels,Mound Westonka,Tue Apr 21
460,Hastings,Woodbury,Mon May 11
461,St. Paul,Henry Sibley,Wed May 20
462,Wayzata,Buffalo,Tue May  5
463,Rochester Mayo,Bloomington Kennedy,Fri Apr 17
464,Totino-Grace,Champlin Park,Mon Apr 27
465,Anoka,Sartell/Sauk Rapids,Fri Apr 10
466,Holy Family,St. Louis Park,Mon Apr 27
467,Simley,Holy Angels,Fri May  1
468,Owatonna,Apple Valley,Sat Apr 18
469,Robbinsdale Armstrong,Spring Lake Park,Wed Apr 15
470,Delano/Rockford,Shakopee,Sat May 16
471,Bloomington Jefferson,St. Louis Park,Thu May 21
472,Blake,Edina,Tue May 19
473,Rocori,Waconia,Thu Apr 16
474,Hermantown/Proctor,Hill-Murray,Thu May 21
475,St. Michael-Albertville,Hopkins,Tue May  5
476,Totino-Grace,Osseo Park Center,Mon May 11
477,Rochester Mayo,Rochester JM Lourdes,Mon Apr 20
478,Spring Lake Park,Elk River Zimmerman,Mon May 11
479,Anoka,Maple Grove,Wed Apr 15
480,Mankato,Rochester JM/Lourdes,Mon May 11
481,St. Thomas Academy,Cretin-Derham Hall,Thu May 21
482,Bloomington Jefferson,Lakeville South,Wed Apr 29
483,Lakeville South,Apple Valley,Tue Apr 21
484,Blaine,Robbinsdale Armstrong,Mon Apr 27
485,Blake,Breck,Tue May  5
486,Rocori,Chisago Lakes,Tue May 19
487,Brainerd,Big Lake,Thu May 21
488,Rochester JM Lourdes,Mankato,Tue Apr 21
489,Rochester JM Lourdes,Owatonna,Thu May 14
490,Chaska,Chanhassen,Thu May 21
491,Centennial,Andover,Mon May  4
492,Totino-Grace,Elk River/Zimmerman,Mon May 18
493,Champlin Park,Elk River Zimmerman,Wed May 20
494,Andover,Maple Grove,Wed Apr 22
495,Hermantown Proctor,Hill-Murray,Thu May 21
496,Owatonna,Rochester Mayo,Mon May 18
497,Providence Academy,St. Paul,Thu May  7
498,Benilde-St. Margarets,Bloomington Kennedy,Thu Apr 30
499,Duluth,Northfield,Sat May  9
500,Providence Academy,Breck,Tue Apr 21
501,Blaine,Maple Grove,Mon May 18
502,Brainerd,Monticello,Fri May  1
503,Osseo/Park Center,Blaine,Wed Apr 29
504,Forest Lake,Grand Rapids,Fri May 22
505,Breck,Providence Academy,Thu May 14
506,Lakeville North,Burnsville,Thu May 14
507,Becker,Chisago Lakes,Mon Apr 27
508,Hermantown/Proctor,Irondale,Fri Apr 17
509,Moorhead,St. Michael-Albertville,Sat May  9
510,Hermantown Proctor,Moorhead,Sat May 16
511,Anoka,Spring Lake Park,Wed Apr 22
512,Orono,Holy Angels,Tue May 12
513,Anoka,Sartell Sauk Rapids,Fri Apr 10
514,St. Thomas Academy,East Ridge,Sat Apr 25
515,Eastview,Burnsville,Tue May 12
516,Centennial,Robbinsdale Armstrong,Mon Apr 20
517,Rocori,Brainerd,Thu Apr 23
518,Eastview,Shakopee,Tue May  5
519,Northfield,Rochester JM Lourdes,Thu Apr 30
520,Eagan,Burnsville,Mon Apr 20
521,Park of Cottage Grove,Stillwater,Wed May 13
522,St. Michael-Albertville,Eden Prairie,Thu Apr 16
523,Delano/Rockford,St. Michael-Albertville,Thu May 21
524,Chaska,Benilde-St. Margarets,Thu Apr 16
525,Robbinsdale Armstrong,Andover,Wed May 20
526,Rosemount,Shakopee,Tue May 19
527,Elk River/Zimmerman,Rogers,Wed May 13
528,Maple Grove,Lakeville North,Fri May 15
529,Chaska,Delano/Rockford,Thu Apr  9
530,Eastview,Prior Lake,Tue Apr 28
531,Elk River/Zimmerman,Centennial,Wed Apr 29
532,East Ridge,Irondale,Wed May  6
533,Hopkins,St. Paul,Tue May 19
534,Big Lake,Chisago Lakes,Thu Apr 30
535,Roseville,Irondale,Fri May 15
536,Elk River Zimmerman,Rogers,Wed May 13
537,Lakeville North,Farmington,Fri May  8
538,Coon Rapids,Elk River Zimmerman,Thu Apr  9
539,Anoka,Andover,Thu Apr  9
540,Park of Cottage Grove,Simley,Mon May 11
541,Irondale,Cretin-Derham Hall,Wed May 13
542,Rocori,Becker,Thu May  7
543,St. Paul,Hill-Murray,Fri Apr 17
544,Holy Family,Sartell Sauk Rapids,Thu May 21
545,Stillwater,Wayzata,Tue Apr 14
546,Centennial,Blaine,Wed May 13
547,Osseo Park Center,Rogers,Wed May  6
548,Lakeville South,Rosemount,Fri Apr 24
549,Eden Prairie,Minnetonka,Tue Apr 28
550,Forest Lake,White Bear Lake,Wed Apr 29
551,Henry Sibley,Hill-Murray,Wed Apr 29
552,North St. Paul,Rochester JM/Lourdes,Mon Apr 13
553,Eden Prairie,Tartan,Fri Apr 24
554,Rochester JM Lourdes,Rochester Mayo,Thu May  7
555,Becker,Sartell/Sauk Rapids,Tue May 19
556,Blake,Minneapolis,Sat May  9
557,Buffalo,Minnetonka,Tue Apr 21
558,Blake,Mound Westonka,Fri Apr 24
559,Burnsville,Champlin Park,Sat May 16
560,Benilde-St. Margarets,Bloomington Jefferson,Wed May 13
561,Delano/Rockford,Monticello,Thu Apr 16
562,Anoka,Coon Rapids,Wed May 13
563,Breck,TrIMAC,Tue Apr 14
564,Centennial,Maple Grove,Mon May 11
565,Henry Sibley,Holy Family,Fri May  1
566,Owatonna,Rochester JM/Lourdes,Mon Apr 27
567,Tartan,Hill-Murray,Wed May 13
568,Robbinsdale Armstrong,Champlin Park,Wed Apr 29
569,Minneapolis,Bloomington Kennedy,Tue Apr 21
