,home_team,home_team_score,home_team_record,home_team_GFvGA,away_team,away_team_score,away_team_record,away_team_GFvGA,winner,year,date
962,Mounds View,5,0.48,0.5055928411633109,Blake,15,0.5769230769230769,0.6049382716049383,1,2018,Thu Apr 12
963,Hill-Murray,6,0.2916666666666667,0.3333333333333333,Mahtomedi,19,0.6923076923076923,0.6294117647058823,1,2018,Wed May  2
964,Breck,13,0.72,0.5989847715736041,Holy Angels,6,0.6521739130434783,0.534516765285996,0,2019,Sat Apr 27
965,Farmington,9,0.19230769230769232,0.2717678100263852,Burnsville,7,0.36,0.4025423728813559,0,2019,Tue May 21
966,Maple Grove,7,0.6,0.6025316455696202,Robbinsdale Armstrong,2,0.4615384615384616,0.4762886597938144,0,2019,Fri May  3
967,North St. Paul,10,0.045454545454545456,0.13817330210772832,Southwest Christian,11,0.3333333333333333,0.4048582995951417,1,2018,Mon May 14
968,Chisago Lakes,7,0.5416666666666666,0.5542452830188679,Rogers,11,0.7083333333333334,0.6714876033057852,1,2018,Mon May 14
969,East Ridge,9,0.8076923076923077,0.6064814814814815,White Bear Lake,8,0.72,0.6255411255411255,0,2019,Thu May 16
970,St. Paul,8,0.5,0.4967320261437909,Hermantown Proctor,13,0.4166666666666667,0.4541284403669725,1,2019,Sat May 18
971,Lakeville North,6,0.64,0.5704989154013015,St. Thomas Academy,12,0.8461538461538461,0.7041942604856513,1,2019,Sat May  4
972,Wayzata,6,0.52,0.5757575757575758,Minnetonka,8,0.88,0.6847290640394089,1,2019,Tue May  7
973,Roseville,10,0.5,0.5333333333333333,Forest Lake,5,0.19230769230769232,0.3790849673202614,0,2018,Fri Apr 27
974,Hill-Murray,0,0.2916666666666667,0.3333333333333333,Simley,16,0.4166666666666667,0.4911111111111111,1,2019,Tue May  7
975,St. Michael-Albertville,28,0.88,0.8653465346534653,Brainerd,2,0.08333333333333333,0.13901345291479822,0,2018,Fri May 11
976,Hill-Murray,19,0.2916666666666667,0.3333333333333333,North St. Paul,0,0.045454545454545456,0.13817330210772832,0,2018,Wed May 16
977,Irondale,15,0.9230769230769232,0.7096069868995634,Osseo Park Center,5,0.3703703703703704,0.5057251908396947,0,2019,Fri May 24
978,Breck,10,0.72,0.5989847715736041,Minneapolis,11,0.5416666666666666,0.5553470919324578,1,2018,Wed May  9
979,Hastings,11,0.6153846153846154,0.5961538461538461,Simley,13,0.4166666666666667,0.4911111111111111,1,2019,Mon May  6
980,Chanhassen,8,0.72,0.6299559471365639,Prior Lake,11,0.8076923076923077,0.7090069284064665,1,2019,Mon Apr 29
981,Champlin Park,9,0.4615384615384616,0.4656319290465632,Elk River Zimmerman,10,0.76,0.6173708920187794,1,2018,Wed May  9
982,Hutchinson,0,0.0,0.062200956937799035,Holy Family,7,0.13043478260869565,0.2868020304568528,1,2018,Mon Apr 30
983,Mounds View,16,0.48,0.5055928411633109,Forest Lake,9,0.19230769230769232,0.3790849673202614,0,2018,Thu May 17
984,Park of Cottage Grove,2,0.5769230769230769,0.5265700483091788,Hastings,11,0.6153846153846154,0.5961538461538461,1,2018,Fri Apr 20
985,Chaska,3,0.3461538461538461,0.4004739336492891,Bloomington Kennedy,7,0.4166666666666667,0.4337078651685393,1,2019,Thu Apr 18
986,Lakeville North,12,0.64,0.5704989154013015,Eastview,7,0.4615384615384616,0.5609756097560976,0,2018,Thu Apr 26
987,Rochester Century,3,0.28,0.3638253638253639,Duluth,15,0.8461538461538461,0.6708860759493671,1,2019,Fri Apr 12
988,Farmington,1,0.19230769230769232,0.2717678100263852,Eastview,12,0.4615384615384616,0.5609756097560976,1,2018,Tue May 15
989,Rochester Century,5,0.28,0.3638253638253639,Northfield,19,0.56,0.5971896955503513,1,2019,Mon Apr 22
990,Benilde-St. Margarets,8,1.0,0.7230769230769231,Eagan,7,0.7083333333333334,0.6666666666666666,0,2018,Sat Apr 28
991,Benilde-St. Margarets,4,1.0,0.7230769230769231,Prior Lake,3,0.8076923076923077,0.7090069284064665,0,2019,Sat May  4
992,Maple Grove,11,0.6,0.6025316455696202,Andover,6,0.6923076923076923,0.5466101694915254,0,2018,Mon May  7
993,Maple Grove,17,0.6,0.6025316455696202,Andover,4,0.6923076923076923,0.5466101694915254,0,2019,Wed Apr 24
994,St. Cloud,18,0.4,0.41326530612244894,Big Lake,5,0.0,0.14418604651162792,0,2019,Thu May 23
995,Osseo Park Center,5,0.3703703703703704,0.5057251908396947,Elk River Zimmerman,15,0.76,0.6173708920187794,1,2018,Fri Apr 27
996,Burnsville,15,0.36,0.4025423728813559,Park of Cottage Grove,8,0.5769230769230769,0.5265700483091788,0,2018,Mon Apr 23
997,Grand Rapids,6,0.3478260869565217,0.4595469255663429,St. Paul,7,0.5,0.4967320261437909,1,2018,Sat May 12
998,Spring Lake Park,6,0.1153846153846154,0.29195402298850576,Robbinsdale Armstrong,18,0.4615384615384616,0.4762886597938144,1,2019,Sat Apr 27
999,Wayzata,6,0.52,0.5757575757575758,Edina,5,0.4615384615384616,0.5092592592592593,0,2018,Thu Apr 26
1000,Burnsville,6,0.36,0.4025423728813559,Shakopee,9,0.6153846153846154,0.5754716981132075,1,2018,Thu May 10
1001,Rochester Mayo,9,0.52,0.4576271186440678,Rochester Century,16,0.28,0.3638253638253639,1,2018,Wed May  2
1002,Minneapolis,8,0.5416666666666666,0.5553470919324578,Blake,13,0.5769230769230769,0.6049382716049383,1,2019,Sat May 11
1003,Spring Lake Park,2,0.1153846153846154,0.29195402298850576,Totino-Grace,11,0.19230769230769232,0.3392857142857143,1,2019,Mon Apr 15
1004,Eden Prairie,2,0.68,0.596875,Minnetonka,9,0.88,0.6847290640394089,1,2018,Thu Apr 26
1005,Hermantown Proctor,10,0.4166666666666667,0.4541284403669725,Grand Rapids,9,0.3478260869565217,0.4595469255663429,0,2019,Mon May 20
1006,Duluth,10,0.8461538461538461,0.6708860759493671,Chisago Lakes,6,0.5416666666666666,0.5542452830188679,0,2019,Thu May 16
1007,Holy Angels,21,0.6521739130434783,0.534516765285996,St. Louis Park,6,0.125,0.21521739130434786,0,2018,Tue Apr 17
1008,Eden Prairie,14,0.68,0.596875,Hopkins,1,0.15384615384615385,0.201530612244898,0,2019,Tue May  7
1009,Burnsville,13,0.36,0.4025423728813559,Farmington,1,0.19230769230769232,0.2717678100263852,0,2018,Tue May  8
1010,Forest Lake,8,0.19230769230769232,0.3790849673202614,Woodbury,11,0.4166666666666667,0.43315508021390375,1,2018,Tue May  8
1011,Providence Academy,7,0.4545454545454545,0.471057884231537,Hopkins,8,0.15384615384615385,0.201530612244898,1,2019,Sat May 18
1012,Wayzata,15,0.52,0.5757575757575758,Blaine,2,0.68,0.6119791666666666,0,2018,Sat May 12
